Frog_ID,Sex,Age,Weight,Location,Health_Status,Last_Checkup,Notes
Frog_159,Female,2,0.5903203899997687,Pond_B,Sick,2024-06-07,New arrival
Frog_160,Female,3,1.9493562451243023,Pond_A,Sick,2024-06-08,New arrival
Frog_161,Male,2,1.4515160314844509,Pond_C,Sick,2024-06-09,New arrival
Frog_162,Male,4,1.9737380848006159,Pond_A,Healthy,2024-06-10,New arrival
Frog_163,Male,9,1.0389295931866305,Pond_A,Healthy,2024-06-11,New arrival
Frog_164,Male,6,4.507372763329528,Pond_A,Healthy,2024-06-12,New arrival
Frog_165,Female,1,3.171166040993219,Pond_A,Healthy,2024-06-13,New arrival
Frog_166,Male,8,3.5559604361502033,Pond_C,Sick,2024-06-14,New arrival
Frog_167,Female,7,4.051270573733023,Pond_C,Sick,2024-06-15,New arrival
Frog_168,Male,3,2.7429898951807576,Pond_B,Healthy,2024-06-16,New arrival
Frog_169,Female,1,0.8911412963934067,Pond_C,Healthy,2024-06-17,New arrival
Frog_170,Female,5,2.916979438183465,Pond_C,Sick,2024-06-18,New arrival
Frog_171,Male,4,3.140785031093956,Pond_B,Healthy,2024-06-19,New arrival
Frog_172,Male,8,3.854477633829485,Pond_C,Sick,2024-06-20,New arrival
Frog_173,Male,1,2.442467958033557,Pond_A,Healthy,2024-06-21,New arrival
Frog_174,Male,1,1.074111362580037,Pond_A,Healthy,2024-06-22,New arrival
Frog_175,Female,4,1.77699157609426,Pond_B,Healthy,2024-06-23,New arrival
Frog_176,Male,8,2.133870333793858,Pond_B,Healthy,2024-06-24,New arrival
Frog_177,Male,5,3.4066275859922053,Pond_B,Healthy,2024-06-25,New arrival
Frog_178,Female,2,3.0685023710101036,Pond_A,Healthy,2024-06-26,New arrival
Frog_179,Male,6,2.102435266540308,Pond_C,Healthy,2024-06-27,New arrival
Frog_180,Male,5,4.939318619568408,Pond_A,Sick,2024-06-28,New arrival
Frog_181,Male,2,3.2259866871059923,Pond_B,Sick,2024-06-29,New arrival
Frog_182,Male,3,1.5675205628119753,Pond_C,Sick,2024-06-30,New arrival
Frog_183,Male,9,0.9580211267918168,Pond_C,Sick,2024-07-01,New arrival
Frog_184,Female,7,1.187866126329494,Pond_A,Sick,2024-07-02,New arrival
Frog_185,Male,7,1.6068097777302865,Pond_B,Healthy,2024-07-03,New arrival
Frog_186,Male,6,1.2230661796680005,Pond_A,Healthy,2024-07-04,New arrival
Frog_187,Male,8,1.339551608230876,Pond_C,Sick,2024-07-05,New arrival
Frog_188,Male,4,1.782928259122312,Pond_A,Healthy,2024-07-06,New arrival
Frog_189,Male,8,1.2801811788263966,Pond_A,Sick,2024-07-07,New arrival
Frog_190,Female,4,4.535444410818913,Pond_B,Sick,2024-07-08,New arrival
Frog_191,Male,8,0.8610518554773899,Pond_B,Healthy,2024-07-09,New arrival
Frog_192,Female,9,2.860301253066146,Pond_C,Healthy,2024-07-10,New arrival
Frog_193,Female,3,2.346785721453477,Pond_A,Healthy,2024-07-11,New arrival
Frog_194,Male,3,4.920703776088729,Pond_A,Sick,2024-07-12,New arrival
Frog_195,Male,2,1.0041750597562356,Pond_A,Healthy,2024-07-13,New arrival
Frog_196,Male,3,2.2903501957058374,Pond_C,Sick,2024-07-14,New arrival
Frog_197,Male,3,4.86261694973916,Pond_C,Sick,2024-07-15,New arrival
Frog_198,Female,5,4.394782066522911,Pond_B,Sick,2024-07-16,New arrival
Frog_199,Male,5,4.176824319271759,Pond_B,Healthy,2024-07-17,New arrival
Frog_200,Male,2,1.6605627217022292,Pond_B,Healthy,2024-07-18,New arrival
Frog_201,Male,6,1.2689941432552962,Pond_A,Sick,2024-07-19,New arrival
